date,close,high,low,open,volume,adjClose
2017-08-03 00:00:00+00:00,155.57,157.21,155.02,157.05,26000738,37.02173798
2017-08-04 00:00:00+00:00,156.39,157.4,155.69,156.07,20349532,37.21687731
2017-08-07 00:00:00+00:00,158.81,158.92,156.6701,157.06,21870321,37.7927763
2017-08-08 00:00:00+00:00,160.08,161.83,158.27,158.6,35775675,38.09500428
2017-08-09 00:00:00+00:00,161.059998,161.27,159.11,159.26,25640394,38.3282191
2017-08-10 00:00:00+00:00,155.32,160,154.63,159.9,39081017,37.1121684
2017-08-11 00:00:00+00:00,157.48,158.5728,156.07,156.6,25943187,37.62827891
2017-08-14 00:00:00+00:00,159.85,160.21,158.75,159.32,21754810,38.19456683
2017-08-15 00:00:00+00:00,161.6,162.195,160.14,160.66,27936774,38.61271191
2017-08-16 00:00:00+00:00,160.95,162.51,160.15,161.94,27321761,38.45740088
2017-08-17 00:00:00+00:00,157.86,160.71,157.84,160.52,26925694,37.71907613
2017-08-18 00:00:00+00:00,157.5,159.5,156.72,157.86,27012525,37.63305771
2017-08-21 00:00:00+00:00,157.21,157.89,155.1101,157.5,26145653,37.5637651
2017-08-22 00:00:00+00:00,159.78,160,158.02,158.23,21297812,38.17784102
2017-08-23 00:00:00+00:00,159.98,160.47,158.88,159.07,19198189,38.22562903
2017-08-24 00:00:00+00:00,159.27,160.74,158.55,160.43,19029621,38.0559816
2017-08-25 00:00:00+00:00,159.86,160.56,159.27,159.65,25015218,38.19695623
2017-08-28 00:00:00+00:00,161.47,162,159.93,160.14,25279674,38.5816497
2017-08-29 00:00:00+00:00,162.91,163.12,160,160.1,29307862,38.92572337
2017-08-30 00:00:00+00:00,163.35,163.89,162.61,163.8,26973946,39.030857
2017-08-31 00:00:00+00:00,164,164.52,163.48,163.64,26412439,39.18616803
2017-09-01 00:00:00+00:00,164.05,164.94,163.63,164.8,16508568,39.19811503
2017-09-05 00:00:00+00:00,162.08,164.25,160.56,163.75,29317054,38.72740313
2017-09-06 00:00:00+00:00,161.91,162.99,160.52,162.71,21179047,38.68678333
2017-09-07 00:00:00+00:00,161.26,162.24,160.36,162.09,21722995,38.53147229
2017-09-08 00:00:00+00:00,158.63,161.15,158.53,160.86,28183159,37.90305997
2017-09-11 00:00:00+00:00,161.5,162.05,159.89,160.5,31028926,38.58881791
2017-09-12 00:00:00+00:00,160.86,163.96,158.77,162.61,71139119,38.43589627
2017-09-13 00:00:00+00:00,159.65,159.96,157.91,159.87,44393752,38.14677882
2017-09-14 00:00:00+00:00,158.28,159.4,158.09,158.99,23073646,37.81943095
2017-09-15 00:00:00+00:00,159.88,160.97,158,158.47,48203642,38.20173503
2017-09-18 00:00:00+00:00,158.67,160.5,157.995,160.11,27939718,37.91261757
2017-09-19 00:00:00+00:00,158.73,159.77,158.44,159.51,20347352,37.92695397
2017-09-20 00:00:00+00:00,156.07,158.26,153.83,157.9,51693239,37.29137344
2017-09-21 00:00:00+00:00,153.39,155.8,152.75,155.8,36643382,36.65101411
2017-09-22 00:00:00+00:00,151.89,152.27,150.56,152.02,46114424,36.29260404
2017-09-25 00:00:00+00:00,150.55,151.83,149.16,149.99,43922334,35.97242437
2017-09-26 00:00:00+00:00,153.14,153.92,151.69,151.78,35470985,36.5912791
2017-09-27 00:00:00+00:00,154.23,154.7189,153.54,153.8,24959552,36.85172375
2017-09-28 00:00:00+00:00,153.28,154.28,152.7,153.89,21896592,36.6247307
2017-09-29 00:00:00+00:00,154.12,154.13,152,153.21,25856530,36.82544034
2017-10-02 00:00:00+00:00,153.81,154.45,152.72,154.26,18524860,36.75136893
2017-10-03 00:00:00+00:00,154.48,155.09,153.91,154.01,16146388,36.91145876
2017-10-04 00:00:00+00:00,153.48,153.86,152.46,153.63,19844177,36.67251871
2017-10-05 00:00:00+00:00,155.39,155.44,154.05,154.18,21032800,37.12889421
2017-10-06 00:00:00+00:00,155.3,155.49,154.56,154.97,16423749,37.1073896
2017-10-09 00:00:00+00:00,155.84,156.73,155.485,155.81,16200129,37.23641723
2017-10-10 00:00:00+00:00,155.9,158,155.1,156.055,15456331,37.25075363
2017-10-11 00:00:00+00:00,156.55,156.98,155.75,155.97,16607693,37.40606466
2017-10-12 00:00:00+00:00,156,157.37,155.7299,156.35,16045720,37.27464764
2017-10-13 00:00:00+00:00,156.99,157.28,156.41,156.73,16287608,37.51119829
2017-10-16 00:00:00+00:00,159.88,160,157.65,157.9,23894630,38.20173503
2017-10-17 00:00:00+00:00,160.47,160.87,159.23,159.78,18816438,38.34270966
2017-10-18 00:00:00+00:00,159.76,160.71,159.6,160.42,16158659,38.17306222
2017-10-19 00:00:00+00:00,155.98,157.08,155.02,156.75,42111326,37.26986884
2017-10-20 00:00:00+00:00,156.25,157.75,155.96,156.61,23612246,37.33438265
2017-10-23 00:00:00+00:00,156.17,157.69,155.5,156.89,21654461,37.31526745
2017-10-24 00:00:00+00:00,157.1,157.42,156.2,156.29,17137731,37.53748169
2017-10-25 00:00:00+00:00,156.41,157.55,155.27,156.91,20126554,37.37261306
2017-10-26 00:00:00+00:00,157.41,157.8295,156.78,157.23,16751691,37.61155311
2017-10-27 00:00:00+00:00,163.05,163.6,158.7,159.29,43904150,38.95917498
2017-10-30 00:00:00+00:00,166.72,168.07,163.72,163.89,43923292,39.83608496
2017-10-31 00:00:00+00:00,169.04,169.6499,166.94,167.9,35474672,40.39042588
2017-11-01 00:00:00+00:00,166.89,169.94,165.61,169.87,33100847,39.87670477
2017-11-02 00:00:00+00:00,168.11,168.5,165.28,167.64,32710040,40.16821163
2017-11-03 00:00:00+00:00,172.5,174.26,171.12,174,58683826,41.21715844
2017-11-06 00:00:00+00:00,174.25,174.99,171.72,172.365,34242566,41.63530353
2017-11-07 00:00:00+00:00,174.81,175.25,173.6,173.91,23910914,41.76910996
2017-11-08 00:00:00+00:00,176.24,176.24,174.33,174.66,23907639,42.11079423
2017-11-09 00:00:00+00:00,175.88,176.095,173.14,175.11,28636531,42.02477581
2017-11-10 00:00:00+00:00,174.67,175.38,174.27,175.11,25061183,41.88619058
2017-11-13 00:00:00+00:00,173.97,174.5,173.4,173.5,16828025,41.71832928
2017-11-14 00:00:00+00:00,171.34,173.48,171.18,173.04,23588451,41.08765039
2017-11-15 00:00:00+00:00,169.08,170.3197,168.38,169.97,28702351,40.54569819
2017-11-16 00:00:00+00:00,171.1,171.87,170.3,171.18,23497326,41.03009795
2017-11-17 00:00:00+00:00,170.15,171.39,169.64,171.04,21665811,40.80228618
2017-11-20 00:00:00+00:00,169.98,170.56,169.56,170.29,15974387,40.76151987
2017-11-21 00:00:00+00:00,173.14,173.7,170.78,170.78,24875471,41.51929374
2017-11-22 00:00:00+00:00,174.96,175,173.05,173.36,24997274,41.95573312
2017-11-24 00:00:00+00:00,174.97,175.5,174.6459,175.1,14026519,41.95813114
2017-11-27 00:00:00+00:00,174.09,175.08,173.34,175.05,20536313,41.7471055
2017-11-28 00:00:00+00:00,173.07,174.87,171.86,174.3,25468442,41.50250761
2017-11-29 00:00:00+00:00,169.48,172.92,167.16,172.63,40788324,40.64161894
2017-11-30 00:00:00+00:00,171.85,172.14,168.44,170.43,40172368,41.20994934
2017-12-01 00:00:00+00:00,171.05,171.67,168.5,169.95,39590080,41.01810785
2017-12-04 00:00:00+00:00,169.8,172.62,169.63,172.48,32115052,40.71835553
2017-12-05 00:00:00+00:00,169.64,171.52,168.4,169.06,27008428,40.67998723
2017-12-06 00:00:00+00:00,169.01,170.2047,166.46,167.5,28224357,40.52891206
2017-12-07 00:00:00+00:00,169.32,170.44,168.91,169.03,24469613,40.60325064
2017-12-08 00:00:00+00:00,169.37,171,168.82,170.49,23096872,40.61524073
2017-12-11 00:00:00+00:00,172.67,172.89,168.79,169.2,33092051,41.40658687
2017-12-12 00:00:00+00:00,171.7,172.39,171.461,172.15,18945457,41.17397906
2017-12-13 00:00:00+00:00,172.27,173.54,172,172.5,23142242,41.31066612
2017-12-14 00:00:00+00:00,172.22,173.13,171.65,172.4,20219307,41.29867603
2017-12-15 00:00:00+00:00,173.97,174.17,172.46,173.63,37054632,41.71832928
2017-12-18 00:00:00+00:00,176.42,177.2,174.86,174.88,28831533,42.30584383
2017-12-19 00:00:00+00:00,174.54,175.39,174.09,175.03,27078872,41.85501634
2017-12-20 00:00:00+00:00,174.35,175.42,173.25,174.87,23000392,41.80945399
2017-12-21 00:00:00+00:00,175.01,176.02,174.1,174.17,20356826,41.96772321
2017-12-22 00:00:00+00:00,175.01,175.42,174.5,174.68,16052615,41.96772321
2017-12-26 00:00:00+00:00,170.57,171.47,169.68,170.8,32968167,40.90300296
2017-12-27 00:00:00+00:00,170.6,170.78,169.71,170.1,21672062,40.91019702
2017-12-28 00:00:00+00:00,171.08,171.85,170.48,171,15997739,41.02530191
2017-12-29 00:00:00+00:00,169.23,170.59,169.22,170.52,25643711,40.58166847
2018-01-02 00:00:00+00:00,172.26,172.3,169.26,170.16,25048048,41.3082681
2018-01-03 00:00:00+00:00,172.23,174.55,171.96,172.53,28819653,41.30107405
2018-01-04 00:00:00+00:00,173.03,173.47,172.08,172.54,22211345,41.49291553
2018-01-05 00:00:00+00:00,175,175.37,173.05,173.44,23016177,41.96532519
2018-01-08 00:00:00+00:00,174.35,175.61,173.93,174.35,20134092,41.80945399
2018-01-09 00:00:00+00:00,174.33,175.06,173.41,174.55,21262614,41.80465795
2018-01-10 00:00:00+00:00,174.29,174.3,173,173.16,23589129,41.79506588
2018-01-11 00:00:00+00:00,175.28,175.49,174.49,174.59,17523256,42.03246972
2018-01-12 00:00:00+00:00,177.09,177.36,175.65,176.18,25039531,42.46651108
2018-01-16 00:00:00+00:00,176.19,179.39,176.14,177.9,29159005,42.25068941
2018-01-17 00:00:00+00:00,179.1,179.25,175.07,176.15,32752734,42.94851281
2018-01-18 00:00:00+00:00,179.26,180.1,178.25,179.37,30234512,42.98688111
2018-01-19 00:00:00+00:00,178.46,179.58,177.41,178.61,30827809,42.79503962
2018-01-22 00:00:00+00:00,177,177.78,176.6,177.3,26023683,42.44492891
2018-01-23 00:00:00+00:00,177.04,179.44,176.82,177.3,31702531,42.45452099
2018-01-24 00:00:00+00:00,174.22,177.3,173.2,177.25,50562257,41.77827975
2018-01-25 00:00:00+00:00,171.11,174.95,170.53,174.51,39661804,41.03249597
2018-01-26 00:00:00+00:00,171.51,172,170.06,172,37121805,41.12841671
2018-01-29 00:00:00+00:00,167.96,170.16,167.07,170.16,48434424,40.27712011
2018-01-30 00:00:00+00:00,166.97,167.37,164.7,165.53,45137026,40.03971627
2018-01-31 00:00:00+00:00,167.43,168.44,166.5,166.87,30984099,40.15002513
2018-02-01 00:00:00+00:00,167.78,168.62,166.76,167.17,38099665,40.23395578
2018-02-02 00:00:00+00:00,160.5,166.8,160.1,166,85436075,38.48819825
2018-02-05 00:00:00+00:00,156.49,163.88,156,159.1,66090446,37.5265928
2018-02-06 00:00:00+00:00,163.03,163.72,154,154.83,66625484,39.09489695
2018-02-07 00:00:00+00:00,159.54,163.4,159.07,163.09,50852130,38.25798847
2018-02-08 00:00:00+00:00,155.15,161,155.03,160.29,49594129,37.20525831
2018-02-09 00:00:00+00:00,156.41,157.89,150.24,157.07,66723743,37.65848382
2018-02-12 00:00:00+00:00,162.71,163.89,157.51,158.5,60560145,39.17532065
2018-02-13 00:00:00+00:00,164.34,164.75,161.65,161.95,32104756,39.56777208
2018-02-14 00:00:00+00:00,167.37,167.54,162.88,163.04,39669178,40.29729836
2018-02-15 00:00:00+00:00,172.99,173.09,169,169.79,50609595,41.65041312
2018-02-16 00:00:00+00:00,172.43,174.82,171.77,172.36,39638793,41.51558318
2018-02-20 00:00:00+00:00,171.85,174.26,171.42,172.05,33531012,41.37593788
2018-02-21 00:00:00+00:00,171.07,174.12,171.01,172.83,35833514,41.18813904
2018-02-22 00:00:00+00:00,172.5,173.95,171.71,171.8,30504116,41.53243692
2018-02-23 00:00:00+00:00,175.5,175.65,173.54,173.67,33329232,42.25474017
2018-02-26 00:00:00+00:00,178.97,179.39,176.21,176.35,36886432,43.09020427
2018-02-27 00:00:00+00:00,178.39,180.48,178.16,179.1,38685165,42.95055897
2018-02-28 00:00:00+00:00,178.12,180.62,178.05,179.26,33604574,42.88555168
2018-03-01 00:00:00+00:00,175,179.78,172.66,178.54,48801970,42.1343563
2018-03-02 00:00:00+00:00,176.21,176.3,172.45,172.8,38453950,42.42568528
2018-03-05 00:00:00+00:00,176.82,177.74,174.52,175.21,28401366,42.5725536
2018-03-06 00:00:00+00:00,176.67,178.25,176.13,177.91,23788506,42.53643844
2018-03-07 00:00:00+00:00,175.03,175.85,174.27,174.94,31703462,42.14157933
2018-03-08 00:00:00+00:00,176.94,177.12,175.07,175.48,23163767,42.60144573
2018-03-09 00:00:00+00:00,179.98,180,177.39,177.96,31385134,43.33337969
2018-03-12 00:00:00+00:00,181.72,182.39,180.21,180.29,32055405,43.75231558
2018-03-13 00:00:00+00:00,179.97,183.5,179.24,182.59,31168404,43.33097202
2018-03-14 00:00:00+00:00,178.44,180.52,177.81,180.32,29075469,42.96259736
2018-03-15 00:00:00+00:00,178.65,180.24,178.07,178.5,22584565,43.01315859
2018-03-16 00:00:00+00:00,178.02,179.12,177.62,178.65,36836456,42.8614749
2018-03-19 00:00:00+00:00,175.3,177.47,173.66,177.32,32804695,42.20658662
2018-03-20 00:00:00+00:00,175.24,176.8,174.94,175.24,19314039,42.19214056
2018-03-21 00:00:00+00:00,171.27,175.09,171.26,175.04,35247358,41.23629259
2018-03-22 00:00:00+00:00,168.85,172.68,168.6,170,41051076,40.65363463
2018-03-23 00:00:00+00:00,164.94,169.92,164.94,168.39,40248954,39.71223273
2018-03-26 00:00:00+00:00,172.77,173.1,166.44,168.07,36272617,41.59744421
2018-03-27 00:00:00+00:00,168.34,175.15,166.92,173.68,38962839,40.53084308
2018-03-28 00:00:00+00:00,166.48,170.02,165.19,167.25,41668545,40.08301507
2018-03-29 00:00:00+00:00,167.78,171.75,166.9,167.81,38398505,40.39601314
2018-04-02 00:00:00+00:00,166.68,168.94,164.47,166.64,37586791,40.13116862
2018-04-03 00:00:00+00:00,168.39,168.75,164.88,167.64,30278046,40.54288147
2018-04-04 00:00:00+00:00,171.61,172.01,164.77,164.88,34605489,41.31815362
2018-04-05 00:00:00+00:00,172.8,174.23,172.08,172.58,26933197,41.60466725
2018-04-06 00:00:00+00:00,168.38,172.48,168.2,170.97,35005290,40.54047379
2018-04-09 00:00:00+00:00,170.05,173.09,169.85,169.88,29017718,40.94255593
2018-04-10 00:00:00+00:00,173.25,174,171.53,173,28614241,41.71301274
2018-04-11 00:00:00+00:00,172.44,173.92,171.7,172.23,22431640,41.51799086
2018-04-12 00:00:00+00:00,174.14,175,173.04,173.41,22889285,41.92729603
2018-04-13 00:00:00+00:00,174.73,175.84,173.85,174.78,25124255,42.06934901
2018-04-16 00:00:00+00:00,175.82,176.19,174.83,175.03,21578420,42.33178585
2018-04-17 00:00:00+00:00,178.24,178.94,176.41,176.49,26605442,42.91444381
2018-04-18 00:00:00+00:00,177.84,178.82,176.88,177.81,20754538,42.81813671
2018-04-19 00:00:00+00:00,172.8,175.39,172.66,173.76,34808800,41.60466725
2018-04-20 00:00:00+00:00,165.72,171.22,165.43,170.6,65491140,39.90003158
2018-04-23 00:00:00+00:00,165.24,166.92,164.09,166.83,36515477,39.78446306
2018-04-24 00:00:00+00:00,162.94,166.33,161.22,165.67,33692017,39.23069723
2018-04-25 00:00:00+00:00,163.65,165.42,162.41,162.62,28382084,39.40164233
2018-04-26 00:00:00+00:00,164.22,165.73,163.37,164.12,27963014,39.53887995
2018-04-27 00:00:00+00:00,162.32,164.33,160.63,164,35655839,39.08142122
2018-04-30 00:00:00+00:00,165.26,167.26,161.84,162.13,42427424,39.78927841
2018-05-01 00:00:00+00:00,169.1,169.2,165.27,166.41,53569376,40.71382657
2018-05-02 00:00:00+00:00,176.57,177.75,173.8,175.23,66539371,42.51236167
2018-05-03 00:00:00+00:00,176.89,177.5,174.44,175.88,34068180,42.58940735
2018-05-04 00:00:00+00:00,183.83,184.25,178.17,178.25,56201317,44.26033553
2018-05-07 00:00:00+00:00,185.16,187.67,184.75,185.18,42451423,44.58055664
2018-05-08 00:00:00+00:00,186.05,186.22,183.67,184.99,28402777,44.79483994
2018-05-09 00:00:00+00:00,187.36,187.4,185.22,186.55,23211241,45.11024569
2018-05-10 00:00:00+00:00,190.04,190.37,187.65,187.74,27989289,45.75550326
2018-05-11 00:00:00+00:00,188.59,190.06,187.45,189.49,26212221,45.58215048
2018-05-14 00:00:00+00:00,188.15,189.53,187.86,189.01,20778772,45.4758026
2018-05-15 00:00:00+00:00,186.44,187.07,185.1,186.78,23695159,45.06249608
2018-05-16 00:00:00+00:00,188.18,188.46,186,186.07,19183064,45.4830536
2018-05-17 00:00:00+00:00,186.99,188.91,186.36,188,17294029,45.19543093
2018-05-18 00:00:00+00:00,186.31,187.81,186.13,187.19,18297728,45.03107512
2018-05-21 00:00:00+00:00,187.63,189.27,186.91,188,18400787,45.35011875
2018-05-22 00:00:00+00:00,187.16,188.88,186.78,188.38,15240704,45.23651988
2018-05-23 00:00:00+00:00,188.36,188.5,185.76,186.35,20058415,45.52655955
2018-05-24 00:00:00+00:00,188.15,188.84,186.21,188.77,23233975,45.4758026
2018-05-25 00:00:00+00:00,188.58,189.65,187.65,188.23,17460963,45.57973348
2018-05-29 00:00:00+00:00,187.9,188.75,186.87,187.6,22514075,45.41537767
2018-05-30 00:00:00+00:00,187.5,188,186.78,187.72,18690547,45.31869779
2018-05-31 00:00:00+00:00,186.87,188.23,186.14,187.22,27482793,45.16642696
2018-06-01 00:00:00+00:00,190.24,190.26,187.75,187.99,23442510,45.98095502
2018-06-04 00:00:00+00:00,191.83,193.42,191.35,191.64,26266174,46.36525758
2018-06-05 00:00:00+00:00,193.31,193.94,192.36,193.07,21565963,46.72297317
2018-06-06 00:00:00+00:00,193.98,194.08,191.92,193.63,20933619,46.88491198
2018-06-07 00:00:00+00:00,193.46,194.2,192.34,194.14,21347180,46.75922813
2018-06-08 00:00:00+00:00,191.7,192,189.77,191.17,26656799,46.33383662
2018-06-11 00:00:00+00:00,191.23,191.97,190.21,191.35,18308460,46.22023775
2018-06-12 00:00:00+00:00,192.28,192.61,191.15,191.39,16911141,46.47402245
2018-06-13 00:00:00+00:00,190.7,192.88,190.44,192.42,21638393,46.09213689
2018-06-14 00:00:00+00:00,190.8,191.57,190.22,191.55,21610074,46.11630687
2018-06-15 00:00:00+00:00,188.84,190.16,188.26,190.03,61719160,45.64257541
2018-06-18 00:00:00+00:00,188.74,189.22,187.2,187.88,18484865,45.61840544
2018-06-19 00:00:00+00:00,185.69,186.33,183.45,185.14,33578455,44.88122129
2018-06-20 00:00:00+00:00,186.5,187.2,185.73,186.35,20628701,45.07699806
2018-06-21 00:00:00+00:00,185.46,188.35,184.94,187.25,25711898,44.82563035
2018-06-22 00:00:00+00:00,184.92,186.15,184.7,186.12,27200447,44.6951125
2018-06-25 00:00:00+00:00,182.17,184.92,180.73,183.4,31663096,44.03043827
2018-06-26 00:00:00+00:00,184.43,186.53,182.54,182.99,24569201,44.57667964
2018-06-27 00:00:00+00:00,184.16,187.28,184.03,185.23,25285328,44.51142072
2018-06-28 00:00:00+00:00,185.5,186.21,183.8,184.1,17365235,44.83529834
2018-06-29 00:00:00+00:00,185.11,187.19,182.91,186.29,22737666,44.74103545
2018-07-02 00:00:00+00:00,187.18,187.3,183.42,183.82,17731343,45.24135387
2018-07-03 00:00:00+00:00,183.92,187.95,183.54,187.79,13954806,44.45341278
2018-07-05 00:00:00+00:00,185.4,186.41,184.28,185.26,16604248,44.81112837
2018-07-06 00:00:00+00:00,187.97,188.43,185.2,185.42,17485245,45.43229665
2018-07-09 00:00:00+00:00,190.58,190.68,189.3,189.5,19756634,46.06313293
2018-07-10 00:00:00+00:00,190.35,191.28,190.18,190.71,15939149,46.00754199
2018-07-11 00:00:00+00:00,187.88,189.78,187.61,188.5,18831470,45.41054368
2018-07-12 00:00:00+00:00,191.03,191.41,189.31,189.53,18041131,46.1718978
2018-07-13 00:00:00+00:00,191.33,191.84,190.9,191.08,12519792,46.24440772
2018-07-16 00:00:00+00:00,190.91,192.65,190.42,191.52,15043110,46.14289384
2018-07-17 00:00:00+00:00,191.45,191.87,189.2,189.75,15534523,46.27341169
2018-07-18 00:00:00+00:00,190.4,191.8,189.93,191.78,16393381,46.01962698
2018-07-19 00:00:00+00:00,191.88,192.55,189.69,189.69,20286752,46.37734257
2018-07-20 00:00:00+00:00,191.44,192.43,190.17,191.78,20706042,46.27099469
2018-07-23 00:00:00+00:00,191.61,191.96,189.56,190.68,15989365,46.31208364
2018-07-24 00:00:00+00:00,193,193.66,192.05,192.45,18697898,46.64804625
2018-07-25 00:00:00+00:00,194.82,194.85,192.43,193.06,16826483,47.08793975
2018-07-26 00:00:00+00:00,194.21,195.96,193.61,194.61,19075964,46.94050292
2018-07-27 00:00:00+00:00,190.98,195.19,190.1,194.99,24023972,46.15981282
2018-07-30 00:00:00+00:00,189.91,192.2,189.07,191.9,21029535,45.90119411
2018-07-31 00:00:00+00:00,190.29,192.14,189.34,190.3,39373038,45.99304001
2018-08-01 00:00:00+00:00,201.5,201.76,197.31,199.13,67935716,48.70249389
